c_year,roa,scaled_roa
16614_2006,0.005603807,0.72893985176173
34782_2006,0.010321447,0.7494633583143943
36029_2006,0.016149592,0.7748179788656397
37808_2006,0.011260585,0.7535489614754782
46195_2006,0.017060363999999998,0.7787801792688038
52617_2006,0.00027685342000000003,0.7057656021994768
64908_2006,0.016272612,0.7753531620877823
90498_2006,0.010341261,0.7495495566590824
92339_2006,0.011666524,0.7553149486484041
93451_2006,0.0057053263,0.7293814988604429
101382_2006,0.006702015600000001,0.7337174718002011
102212_2006,0.013152105,0.7617777841737968
106926_2006,0.01420054,0.7663388703508985
200138_2006,0.013288342,0.7623704663119454
203596_2006,0.0095250458,0.7459987138636203
311094_2006,0.020716934,0.7946876326470343
314489_2006,0.011511392,0.7546400661608621
315849_2006,0.010536677,0.7503996896824787
318300_2006,0.011496036,0.7545732617911723
350852_2006,0.013153921,0.76178568445612
351077_2006,0.0045213029,0.7242305521988902
351569_2006,0.010806616000000002,0.7515740257563037
353191_2006,0.011478757,0.7544980916489564
354647_2006,0.011798968,0.7558911298114138
354869_2006,0.009260701,0.7448487146616967
356171_2006,0.013974206,0.7653542324107229
356708_2006,0.018478421,0.7849492600234929
357264_2006,0.012614029,0.7594369514032099
700564_2006,0.012435648999999998,0.7586609313807274
700733_2006,0.011758183,0.7557136997373195
700863_2006,0.010168588,0.7487983642308835
701347_2006,0.014429967,0.7673369640032032
702325_2006,0.013889194,0.764984398269276
702513_2006,0.011257332,0.7535348097032328
702902_2006,0.012128334,0.7573239956636673
705200_2006,0.012255488,0.7578771633390722
705432_2006,0.0079334695,0.7390747589577531
707179_2006,0.0097395983,0.7469320978521485
707605_2006,0.0026027018,0.7158839165404256
708781_2006,0.017549807,0.7809094402165776
708955_2006,0.0064426358,0.7325890722137703
711669_2006,0.0083658565,0.7409558048679512
713095_2006,0.011714755,0.7555247716201742
714310_2006,0.013206183,0.7620130437924525
714395_2006,0.0093477005,0.7452271951749042
714530_2006,0.006074436,0.7309872647405444
714710_2006,0.011735315,0.7556142153451559
714756_2006,0.0089326492,0.7434215660732258
715072_2006,0.010387324,0.7497499480162727
716605_2006,0.016287766000000002,0.7754190876815747
717059_2006,0.011868391,0.7561931459456261
717306_2006,0.0097586494,0.7470149772951933
717538_2006,0.011111571,0.7529006945866442
719220_2006,0.015975831,0.774062053228648
720002_2006,0.00915353,0.744382480544478
721994_2006,0.010192703,0.7489032735415807
722256_2006,0.014861672,0.7692150429571543
723188_2006,0.0085323993,0.741680328622858
723458_2006,0.006425817,0.7325159041144648
726601_2006,0.012804524,0.7602656762276454
726990_2006,0.005386409799999999,0.7279940922593664
729986_2006,0.01328585,0.7623596251756295
730708_2006,0.009983113,0.747991478292606
737468_2006,0.010433213,0.7499495824080863
740971_2006,0.0082876999,0.7406157942922748
741390_2006,0.0086466707,0.7421774521479008
741516_2006,0.014691663,0.7684754399298965
742054_2006,0.0074491509999999985,0.7369677915104009
742679_2006,0.0090158721,0.7437836169574565
744126_2006,0.0084107909,0.7411512863910941
745981_2006,0.010210901,0.7489824416790913
747345_2006,0.013324442,0.7625275148757509
750574_2006,0.010368021,0.7496659727135819
750577_2006,0.017067798999999998,0.7788125243123466
750686_2006,0.011456105,0.7543995469379503
754597_2006,0.0095242718,0.7459953466728062
759718_2006,0.0051441197,0.7269400392890262
762128_2006,0.0088722473,0.7431587951134996
763907_2006,0.0093210116,0.745111088432119
764038_2006,0.0090914806,0.7441125423407386
764241_2006,0.0072814873,0.7362383914193398
764402_2006,0.011994445,0.7567415282077296
765207_2006,0.011128016,0.7529722365155025
767405_2006,0.0049639661,0.7261563034401514
773845_2006,0.0058393069,0.7299643648107973
775662_2006,0.0087871728,0.7427886890735698
776901_2006,0.011612563,0.7550801980237086
783739_2006,0.0098167146,0.7472675827319544
787849_2006,0.0020089815,0.7133010101576792
790359_2006,0.010996798,0.7524013889131361
796317_2006,0.0057432754,0.7295465917040083
796534_2006,0.014549593,0.7678573820501225
797871_2006,0.0079424279,0.739113731363681
801337_2006,0.0078251343,0.7386034601331111
806279_2006,0.009707923,0.7467942983958298
811589_2006,0.0090338774,0.7438619467775641
811671_2006,0.011123701,0.7529534646442332
811831_2006,0.007112936600000001,0.7355051325450072
814184_2006,0.016697166,0.7772001315048976
818969_2006,0.011118836000000002,0.7529323000663132
821127_2006,0.0094339522,0.7456024224771419
822662_2006,0.0062904027,0.7319268010304282
826154_2006,0.014377694,0.7671095568127377
832847_2006,0.0080743758,0.7396877543052917
834285_2006,0.010029499,0.7481932748211567
835012_2006,0.01411064,0.76594777157289
840256_2006,0.0087454747,0.7426072866713975
840387_2006,-0.0010131025,0.7001538092740378
846617_2006,0.014238796,0.7665052983247751
854395_2006,0.012562802,0.7592140947057566
854399_2006,0.008709785500000001,0.7424520252419414
854560_2006,0.013722667,0.7642599432503057
855574_2006,-0.0022184309,0.6949101778575855
855876_2006,0.010737729,0.7512743414234819
857499_2006,0.005954653000000001,0.7304661636846356
857855_2006,0.0096905492,0.7467187158379948
859070_2006,0.014234168,0.7664851647859028
861842_2006,0.014647715,0.7682842496173724
862831_2006,0.0091017177,0.7441570775721107
865911_2006,0.01586128,0.7735637133385517
868671_2006,0.01368276,0.764086332806101
879635_2006,0.0099411421,0.7478088891079351
883948_2006,0.012419185,0.7585893067947304
887343_2006,0.012573973,0.7592626927530218
887919_2006,0.012141144,0.7573797239767517
889936_2006,0.0088811377,0.7431974716938778
891098_2006,0.011132809,0.75299308786637
891106_2006,0.0075235139,0.7372912980656754
893847_2006,0.0095168334,0.745962986837986
906465_2006,0.0022033933,0.7141467745337687
908837_2006,0.0033430478000000003,0.7191046998096532
913341_2006,0.016513994,0.7764032644819233
914138_2006,0.010381909,0.7497263907317019
920112_2006,0.008207983299999999,0.7402689971304617
921547_2006,0.01229664,0.758056190001059
921557_2006,0.0093052126,0.7450423568459815
921590_2006,0.0048687696,0.7257421628970958
922487_2006,0.015901956999999998,0.7737406735720673
925464_2006,0.0093790432,0.7453635476962557
926966_2006,0.01040453,0.7498248005810605
927807_2006,0.01193405,0.7564787872655958
932781_2006,0.006388033299999999,0.7323515308230449
933590_2006,0.0050340849,0.7264613465657958
934547_2006,0.0099394899,0.7478017014171562
946090_2006,0.0015230074,0.7111868402282706
946673_2006,0.0092010852,0.7445893635323306
949953_2006,0.0075115529,0.7372392632215846
1000234_2006,0.0078726159,0.7388100229333101
1002682_2006,0.01497882,0.769724680773018
1005817_2006,0.012559497,0.7591997167139733
1010002_2006,0.015268276,0.7709839231299397
1013796_2006,0.00701012,0.7350578417038615
1019650_2006,0.0040427893,0.7221488382476055
1019883_2006,0.007918608399999999,0.7390101075890115
1024321_2006,0.0091203796,0.7442382638489219
1025536_2006,0.013659038,0.7639831331930652
1027324_2006,0.01497758,0.7697192863071145
1028734_2006,0.010805601,0.7515696101249391
1036070_2006,0.011990856,0.7567259147092393
1046025_2006,0.012366147,0.7583585715668325
1046050_2006,0.014134784,0.7660528070444833
1047170_2006,0.0085001374,0.7415399772361368
1051379_2006,0.006031856899999999,0.7308020296573552
1053352_2006,0.016651593,0.7770018718318144
1058690_2006,0.011945201,0.7565272983053463
1060523_2006,0.0045091975,0.7241778891605442
1061068_2006,0.005010061,0.7263568335743275
1061580_2006,0.009749948,0.7469771229358276
1066254_2006,0.008944509599999999,0.7434731632695184
1068300_2006,0.010646198,0.7508761471826598
1068851_2006,0.013457186,0.7631050011514792
1071264_2006,0.0077493666,0.7382738421700129
1071992_2006,0.0086741699,0.7422970840001389
1072847_2006,0.0054950048,0.7284665213116227
1074902_2006,0.0118822,0.7562532202840635
1076394_2006,0.0018016745,0.7123991468164931
1077428_2006,0.0078697288,0.7387974629635439
1077771_2006,0.011498405,0.7545835678312737
1082368_2006,0.0026259706,0.7159851445631812
1082484_2006,0.0052681817,0.7274797556026781
1083643_2006,0.010740529,0.7512865224755223
1084717_2006,0.014293766,0.7667444384785808
1084727_2006,0.0068404595,0.7343197547825453
