cik_year,roa,prev_roa
16614_2006,0.72893985176173,0.7401602199007041
34782_2006,0.7494633583143943,0.7463777490497334
36029_2006,0.7748179788656397,0.7746155776348628
37808_2006,0.7535489614754782,0.7475628027092035
46195_2006,0.7787801792688038,0.7820968274175888
52617_2006,0.7057656021994768,0.7169888219227336
64908_2006,0.7753531620877823,0.7777624567212116
90498_2006,0.7495495566590824,0.7510372589973959
92339_2006,0.7553149486484041,0.750956237599825
93451_2006,0.7293814988604429,0.7553998766833796
101382_2006,0.7337174718002011,0.7342666567066265
102212_2006,0.7617777841737968,0.7657041461817081
106926_2006,0.7663388703508985,0.7486067214792836
200138_2006,0.7623704663119454,0.7606788488121015
203596_2006,0.7459987138636203,0.7466245445597087
311094_2006,0.7946876326470343,0.7953341028306925
314489_2006,0.7546400661608621,0.7563292692021767
315849_2006,0.7503996896824787,0.7670716476386381
318300_2006,0.7545732617911723,0.7526285916359424
350852_2006,0.7617856844561199,0.7571038100969115
351077_2006,0.7242305521988902,0.7497520144447439
351569_2006,0.7515740257563037,0.7397495209398876
353191_2006,0.7544980916489564,0.7478984455076483
354647_2006,0.7558911298114138,0.7612118350945011
354869_2006,0.7448487146616967,0.7604250130890842
356171_2006,0.7653542324107229,0.7604885938303589
356708_2006,0.7849492600234929,0.7682542711782261
357264_2006,0.7594369514032099,0.767376347954675
700564_2006,0.7586609313807274,0.7628187420781561
700733_2006,0.7557136997373195,0.7610660322519541
700863_2006,0.7487983642308835,0.7509218348285626
701347_2006,0.7673369640032032,0.76472830035088
702325_2006,0.7649843982692759,0.7657288432647198
702513_2006,0.7535348097032328,0.7579413835855792
702902_2006,0.7573239956636673,0.7587469209073807
705200_2006,0.7578771633390722,0.7578137609632024
705432_2006,0.7390747589577531,0.740155260907411
707179_2006,0.7469320978521485,0.737226828977677
707605_2006,0.7158839165404256,0.6593806936493994
708781_2006,0.7809094402165776,0.7627257484465798
708955_2006,0.7325890722137703,0.749273020675513
711669_2006,0.7409558048679512,0.7397971192708103
713095_2006,0.7555247716201742,0.745584210499229
714310_2006,0.7620130437924525,0.7617386307922387
714395_2006,0.7452271951749042,0.7492431466453843
714530_2006,0.7309872647405444,0.7475257144510038
714710_2006,0.7556142153451559,0.7380346515518489
714756_2006,0.7434215660732258,0.7411400110872806
715072_2006,0.7497499480162727,0.7484858462896622
716605_2006,0.7754190876815747,0.7879550912279664
717059_2006,0.7561931459456261,0.7564919776048051
717306_2006,0.7470149772951933,0.7305775929034374
717538_2006,0.7529006945866442,0.7579216067775164
719220_2006,0.774062053228648,0.7838665341617626
720002_2006,0.744382480544478,0.7473668913689385
721994_2006,0.7489032735415807,0.7523547920387063
722256_2006,0.7692150429571543,0.7707888566326414
723188_2006,0.7416803286228579,0.7577841566563687
723458_2006,0.7325159041144648,0.6050728782990265
726601_2006,0.7602656762276454,0.7547366314509117
726990_2006,0.7279940922593664,0.7589715743100098
729986_2006,0.7623596251756295,0.7694816600840625
730708_2006,0.747991478292606,0.7469167584273293
737468_2006,0.7499495824080863,0.7462609901856263
740971_2006,0.7406157942922748,0.747289335480673
741390_2006,0.7421774521479008,0.7437210763910186
741516_2006,0.7684754399298965,0.7742924534776149
742054_2006,0.7369677915104009,0.7459375545414763
742679_2006,0.7437836169574565,0.7079813536631727
744126_2006,0.7411512863910941,0.738077963457566
745981_2006,0.7489824416790913,0.7498445295349901
747345_2006,0.7625275148757509,0.7593741711310693
750574_2006,0.7496659727135819,0.7508366022672862
750577_2006,0.7788125243123466,0.7440657423037623
750686_2006,0.7543995469379503,0.7608204578924458
754597_2006,0.7459953466728062,0.7392328159386525
759718_2006,0.7269400392890262,0.7292226840440916
762128_2006,0.7431587951134996,0.739593647847604
763907_2006,0.745111088432119,0.7448829103550746
764038_2006,0.7441125423407386,0.7421836797107565
764241_2006,0.7362383914193398,0.7484144653247059
764402_2006,0.7567415282077296,0.7425950064307907
765207_2006,0.7529722365155025,0.7581702742541679
767405_2006,0.7261563034401514,0.7100796987528383
773845_2006,0.7299643648107973,0.7461666200951694
775662_2006,0.7427886890735698,0.7438912926720797
776901_2006,0.7550801980237086,0.7520527019481066
783739_2006,0.7472675827319544,0.7549430176258561
787849_2006,0.7133010101576792,0.7353623519084792
790359_2006,0.7524013889131361,0.7560942097008044
796317_2006,0.7295465917040083,0.7378716412331449
796534_2006,0.7678573820501225,0.7687907725642146
797871_2006,0.739113731363681,0.7257736678830854
801337_2006,0.7386034601331111,0.7498916180018773
806279_2006,0.7467942983958298,0.7467533935530033
